id,runDuration
32040665,181.45
32222907,23.09
32222931,109.77
32222941,20
32222955,39.96
32222979,81.92
32223003,56.03
32223013,20
32223037,20
32223039,20
32223051,39.49
32223061,20
32223063,20
32223073,20
32223075,20
32223085,20
32223087,36.42
32223147,20
32223229,20
32223231,25.59
32223301,95.89
32223303,76.1
32223327,52.88
32223339,20
32228771,36.95
32228783,190.14
32228795,32.02
32228819,116.05
32228831,20
32228843,61.92
32228975,20
32228985,92.88
32228987,20
32229069,20
32229081,21.14
32229083,20
32229179,20
32229189,20
32229191,20
32229357,20.19
32229359,45.74
32229371,39.98
32229383,35.49
32229407,20
32233339,20
32243236,44.42
32243356,20
32243392,26.32
32243692,80.43
32243716,135.46
32243728,53.23
32249469,36.16
32249505,22.74
32258002,20
32258004,20
32258228,51.96
32258240,33.15
32258700,47.12
32259232,54.2
32259234,70.02
32259244,20
32259246,26.58
32271480,114.18
32271482,212.05
32348781,26.99
32348783,22.56
33960049,46.85
34646581,88.49
34652536,78.68
34841033,97.53
34841034,55.34
34841070,69.63
34841071,55.25
35253036,20
36309587,20
36309607,72.19
36309608,20
36720375,174.7
36720376,54.52
36720485,93.29
36720486,21.88
36720597,140.82
36720598,20
36720629,68.22
36720630,29.15
36879561,95.98
36879562,20
37885699,88.49
43328966,20
43328968,58.22
51233413,75.85
53391142,20.62
53391144,27.53
53391464,20
53391670,29.11
53394106,20
56690478,20
56690479,20
56690481,20
56690482,69.53
56690485,48.53
56690486,53.62
56690487,20
56690488,20
56690490,20
56690496,20
56690498,47.38
56690499,23.42
56690500,30.52
56690501,20
56690502,48.08
56690503,76.01
56690504,157.46
56690505,85.16
56690506,20
56690507,20
56690508,56.25
56690509,20
56690511,161.37
56690513,64.55
56690514,28.69
56690515,330
56690516,220
56690517,20
56690520,20
56690521,20
56690522,20
56690523,20
56690525,37.44
56690526,30.73
56690527,20
56690528,172.68
56690529,20
56690531,44.03
56690532,45.46
56690533,500
56690535,37.23
56690536,86.32
56690538,43.31
56690540,20
56690541,20
56690542,24.61
56690544,20
56690545,373.42
56690546,20
56690549,30.32
56690550,60.2
56690552,51.1
56690553,45.88
56690554,20
56690556,24.61
56690558,144.07
56690560,22.25
56690561,25.28
56690562,33.65
56690564,20
56690565,32.64
56690566,84.88
56690567,367.4
56690568,48.72
56690569,500
56690570,20
56690572,20
56690573,24.43
56690574,38.9
56690575,142.65
56690576,20
56690577,20
56690578,20
56690579,162.05
56690580,112.92
56690581,20
56690582,20
56690583,20
56690584,20
56690585,39.66
56690589,34.24
56690590,61.46
56690592,53.29
56690595,42.63
56690597,20
56690602,20
56690603,20
56690604,20
56690605,20
56690606,20
56690607,20
56690608,20
56690610,41.94
56690611,48.58
56690613,93.42
56690614,269.86
56690615,108.05
56690617,28.51
56690619,20
56690620,20
56690622,20
56690623,20
56690767,150.96
56690817,94.83
56690818,57.39
56690819,135.93
56690820,20
56690821,56.08
56690836,20
56690853,53.52
56690924,337.95
56690949,95.75
56691024,110.23
56691064,23.84
56691065,20
56691066,97.63
56691067,20.35
56691068,20
56691070,71.34
56691071,122.92
56691072,24.67
56691073,124.07
56691074,24.57
56691075,24.49
56691076,20
56691078,51.95
56691079,20
56691080,20
56691082,20
56691084,20
56691085,20.89
56691086,20
56691091,42.59
56691092,20
56691093,38.67
56691094,32.63
56691095,56.51
56691098,33.53
56691099,32.58
56691100,20
56691101,44.45
56691103,20
56691104,25.05
56691105,20
56691107,20
56691108,40.37
56691110,81.1
56691111,20
56691112,167.04
56691115,159.26
56691116,31.6
56691117,28.83
56691120,34.25
56691122,113.42
56691123,48
56691124,45.68
56691128,20
56691129,21.47
56691130,20
56691131,27.42
56691133,51.96
56691134,20
56691135,33.66
56691136,20
56691137,66.18
56691138,20
56691139,20
56691141,69.36
56691142,20
56691144,143.36
56691145,108.04
